Restaurant Name,Item Name,Price
Tasty Kitchen,Curry Pork Chop Clay Pot,$19.14 
Tasty Kitchen,Curry Beef Stew Clay Pot,$21.54 
Tasty Kitchen,Curry Prawn Clay Pot,$21.54 
Tasty Kitchen,Curry Beef,$19.14 
Tasty Kitchen,Oyster and Roast Pork in Clay Pot,$21.80 
Tasty Kitchen,Braised Seafood with Tofu in Clay Pot,$20.35 
Tasty Kitchen,Spicy Seafood with Tofu in Clay Pot,$20.35 
Tasty Kitchen,Tender Beef Stew in Clean Broth,$26.50 
Tasty Kitchen,Chicken and Eggplant with Salty Fish Flavor in Clay Pot,$19.14 
Tasty Kitchen,Garlic Eggplant with Cod Fillet in Clay Pot,$20.35 
Tasty Kitchen,House Special Clay Pot,$21.80 
Tasty Kitchen,Braised Cod Fillet in Clay Pot,$20.34 
Tasty Kitchen,House Special Chicken in Clay Pot,$20.35 
Tasty Kitchen,Braised Beef Brisket and Casserole,$21.54 
Tasty Kitchen,Beer Marinated Beef Short Rib with Japanese Pumpkin in Clay Pot,$22.75 
Tasty Kitchen,Chicken and Tofu with Salted Fish Flavor,$19.14 
Wayback Burgers,SWEET BACON BURGER,$13.59 
Wayback Burgers,BACON CHEESE FRIES,$6.19+
Wayback Burgers,TATER TOTS,$4.89+
Wayback Burgers,CAJUN TATER TOTS,$4.89+
Wayback Burgers,ONION RINGS,$5.99+
Wayback Burgers,REGULAR CHEESE FRIES,$5.79 
Wayback Burgers,LARGE CHEESE FRIES,$8.09 
Wayback Burgers,FRESH BREWED ICED TEA,$4.09+
Wayback Burgers,FOUNTAIN DRINKS,$4.09+
Wayback Burgers,BOTTLED WATER,$4.09+
Wayback Burgers,BROWNIE MILKSHAKE,$8.69 
Wayback Burgers,CINNAMON TOAST CRUNCH MILKSHAKE,$8.69 
Wayback Burgers,RED VELVET SHAKE,$8.69 
Iron Horse Tavern,Turkey Sandwich,$20.35 
Iron Horse Tavern,Beer Batter Fish & Chips,$26.70 
Iron Horse Tavern,Hawaiian Style Ribeye Steak,$39.54 
Iron Horse Tavern,Roasted Half Chicken,$33.00 
Iron Horse Tavern,Beer Batter Fish & Chips,$26.70 
Iron Horse Tavern,Beignets,$13.15 
Iron Horse Tavern,Cinnamon Churro Sundae,$10.75 
Iron Horse Tavern,Banana Cream Pie,$10.75 
Iron Horse Tavern,Breakfast Board,$16.50 
Iron Horse Tavern,Tavern Fried Chicken ‘n Pancakes,$26.70 
Iron Horse Tavern,Pepsi,$4.65 
Iron Horse Tavern,Diet Pepsi,$4.65 
Iron Horse Tavern,Sierra Mist,$4.65 
Iron Horse Tavern,Mug Root Beer,$4.65 
Iron Horse Tavern,Red Bull,$5.70 
Iron Horse Tavern,Dr Pepper,$4.65 
Iron Horse Tavern,Ginger Ale,$4.65 
Iron Horse Tavern,Iced Tea,$4.65 
Iron Horse Tavern,Ginger Beer,$4.50 
Iron Horse Tavern,Fiji Still,$4.95 
Iron Horse Tavern,San Pellegrino Sparkling,$5.00 
Pooja Indian Grill,Lamb Curry,$15.99 
Pooja Indian Grill,Lamb Saag Wala,$15.99 
Pooja Indian Grill,Lamb Vindaloo,$15.99 
Pooja Indian Grill,Rogan Josh,$15.99 
Pooja Indian Grill,Lamb Pasanda,$15.99 
Pooja Indian Grill,Karahi Ghosht,$15.99 
Pooja Indian Grill,Prawn Curry,$16.99 
Pooja Indian Grill,Prawn Pepper Masala,$16.99 
Pooja Indian Grill,Prawn Saag Wala,$16.99 
