name,address,phone_number,cuisines
Dah Bao,"2880 5th Street  STE 140, Davis, CA, 95618",1 5302981014,"Coffee and Tea, Asian, Bubble Tea, Dim Sum, Noodles"
H K Garden,"1145 Pitt School Rd Ste A, Dixon, CA, 95620",1 7076783638,"Chinese, Coffee and Tea, Noodles"
Jersey Mike's,"2850 Del Paso Rd, Sacramento, CA, 95834",1 9169288951,"Sandwich, American, Sandwiches, Subs"
Bruxie,"500 1st Street, Davis, CA, 95616",1 5302981732,"American, Breakfast, Brunch"
Poke Fix,"3880 Truxel Rd #200, Sacramento, CA, 95834",1 9163334366,"Bowls, Burritos, Sushi"
Punjabi Dhaba,"7800 Batavia Rd, Dixon, CA, 95620",1 7076936682,"Indian, Seafood, Soup"
Tim's Kitchen Davis,"808 2nd St, Davis, CA, 95616",1 5307462108,"Chinese, Chicken, Soup, Vegetables"
Chicha Peruvian Kitchen Midtown,"1501 16th Street, Sacramento, CA, 95814",1 9165733942,"Pizza, Peruvian, Seafood, Vegetarian"
California Burrito,"2910 W Capitol Ave, West Sacramento, CA, 95691",1 9163724872,"Mexican, Breakfast, Burritos, Californian, Dessert, Kids Menu, Lunch Specials, Seafood, Tacos"
Delish Pizza,"2200 16th St, Sacramento, CA, 95818",1 9167019959,"Pizza, Salads, Wings"
Jensai Sushi,"2210 16th St, Sacramento, CA, 95818",1 9164438888,"Japanese, Asian, Lunch Specials, Poke, Sushi, Vegetarian"
Sizzler,"2901 Advantage Way, Sacramento, CA, 95834",1 9162850994,"American, Chicken, Hamburgers, Salads, Seafood, Steak"
Applebee's,"3601 Truxel Rd, Sacramento, CA, 95833",1 9169288488,"American, Chicken, Hamburgers, Pasta, Salads, Sandwiches, Wings"
Taco Bell,"425 G St, Davis, CA, 95616",1 5307584172,"Mexican, Bowls, Breakfast, Burritos, Chicken, Coffee and Tea, Dessert, Donuts, Fast Food, Steak, Tacos, Tex-Mex, Vegetarian"
Fire Wings ,"640 W Covell Blvd, Davis, CA, 95616",1 5302201310,"American, Chicken, Salads, Sandwiches, Wings"
Ramen 101 - Midtown,"1609 16th St, Sacramento, CA, 95814",1 9166809099,"Chicken, Ramen"
Blaze Pizza,"212 F St, Davis, CA, 95616",1 5307462155,"Pizza, American, Italian"
Panera Bread,"609 3rd St, Davis, CA, 95616",1 8553726372,"Soup, American, Bakery, Breakfast, Cafe, Chicken, Coffee and Tea, Healthy, Pizza, Salads, Sandwiches, Vegetarian"
Shah's Halal Food,"3000 W Capitol Ave, West Sacramento, CA, 95691",1 9165720219,"Chicken, Falafel, Gyro, Halal, Middle Eastern, Salads"
Falafel Corner,"1004 J St, Sacramento, CA, 95814",1 9169175556,"Falafel, Wraps"
Koja Kitchen (Sac),"732 K St, Sacramento, CA, 95814",1 9166286829,"Asian Fusion, Bowls, Bubble Tea, Chicken, Hamburgers, Salads, Seafood, Tacos"
Buffalo Pizza & Ice Cream,"2600 21st St., Sacramento, CA, 95818",1 9164516555,"Pizza, Chicken, Gluten-Free, Ice Cream, Italian, Salads, Vegan, Vegetarian"
Firehouse Subs,"3830 Truxel Rd, Sacramento, CA, 95834",1 9169286310,"Sandwich, American, Sandwiches, Subs"
Shake Shack,"1710 R St, Sacramento, CA, 95811",1 2793214002,"American, Hamburgers, Hot Dogs, Shakes"
Nick the Greek,"206 E St, Davis, CA, 95616",1 5302989200,Greek
