Restaurant Name,URL
Bro's Liquor,https://www.grubhub.com/restaurant/bros-liquor-1046-olive-dr-davis/2249579
Casa Jalisco,https://www.grubhub.com/restaurant/casa-jalisco-4055-lake-rd-west-sacramento/2289990
MLB Ballpark Bites,https://www.grubhub.com/restaurant/mlb-ballpark-bites-1745-cowell-blvd-davis/8248584
ShareTea Davis,https://www.grubhub.com/restaurant/sharetea-davis-208-f-street-davis/7175064
Menchie's Frozen Yogurt,https://www.grubhub.com/restaurant/menchies-frozen-yogurt-3230-arena-blvd-sacramento/6039136
Pressed Retail,https://www.grubhub.com/restaurant/pressed-retail-1710-r-st-ste-170-sacramento/901239
Rotten Robbie - 2299 North First St.,https://www.grubhub.com/restaurant/rotten-robbie---2299-north-first-st-2299-n-1st-st-dixon/6741648
7-Eleven,https://www.grubhub.com/restaurant/7-eleven-525-l-st-davis/2115985
Temple Coffee Roasters,https://www.grubhub.com/restaurant/temple-coffee-roasters-239-g-st-davis/2040021
CVS,https://www.grubhub.com/restaurant/cvs-1550-e-covell-blvd-davis/7270656
Jamba Juice,https://www.grubhub.com/restaurant/jamba-juice-1361-w-covell-blvd-davis/4329152
T4 Davis ,https://www.grubhub.com/restaurant/t4-davis-132-e-st-suite-190-davis/8094136
Ice Cream Shop,https://www.grubhub.com/restaurant/ice-cream-shop-1046-olive-dr-davis/3113386
Baskin-Robbins,https://www.grubhub.com/restaurant/baskin-robbins-236-e-st-davis/6182744
ExtraMile Convenience Stores,https://www.grubhub.com/restaurant/extramile-convenience-stores-4800-w-capitol-ave-west-sacramento/2397037
Country West Liquor,https://www.grubhub.com/restaurant/country-west-liquor-3071-w-capitol-ave-west-sacramento/7726120
Salt & Straw Ice Blocks,https://www.grubhub.com/restaurant/salt--straw-ice-blocks-1710-r-st-sacramento/4654080
Rite Aid,https://www.grubhub.com/restaurant/rite-aid-655-russell-blvd-davis/4267048
Grubhub Goods,https://www.grubhub.com/restaurant/grubhub-goods-525-l-st-davis/3143146
Loop Neighborhood Market,https://www.grubhub.com/restaurant/loop-neighborhood-market-1944-anderson-rd-davis/2510509
Aggie Liquor,https://www.grubhub.com/restaurant/aggie-liquor-507-l-st-davis/2870408
Starbucks,https://www.grubhub.com/restaurant/starbucks-715-harbor-pointe-pl-west-sacramento/8419992
Loop Neighborhood Market,https://www.grubhub.com/restaurant/loop-neighborhood-market-1010-olive-dr-davis/2508875
Rebel Convenience Stores,https://www.grubhub.com/restaurant/rebel-convenience-stores-3200-arena-blvd-sacramento/7507768
Power Market 3027,https://www.grubhub.com/restaurant/power-market-3027-901-east-st-woodland/2286848
Michael's Market Wine & Spirit,https://www.grubhub.com/restaurant/michaels-market-wine--spirit-1100-pitt-school-rd-dixon/2782642
Capital General Store,https://www.grubhub.com/restaurant/capital-general-store-1019-2nd-st-sacramento/2818827
Loop Neighborhood Market,https://www.grubhub.com/restaurant/loop-neighborhood-market-8900-pocket-rd-sacramento/2510706
